id,label,date,number
the-lord-of-the-rings-the-fellowship-of-the-ring,avgRating,2024-09-26,4.37
the-lord-of-the-rings-the-fellowship-of-the-ring,numReviews,2024-09-26,172134
the-lord-of-the-rings-the-fellowship-of-the-ring,numRatings,2024-09-26,1576880
the-lord-of-the-rings-the-fellowship-of-the-ring,numLikes,2024-09-26,943126
the-lord-of-the-rings-the-fellowship-of-the-ring,numFans,2024-09-26,49656
the-shawshank-redemption,numViews,2024-09-26,2250228
the-shawshank-redemption,avgRating,2024-09-26,4.56
the-shawshank-redemption,numReviews,2024-09-26,114389
the-shawshank-redemption,numRatings,2024-09-26,1473671
the-shawshank-redemption,numLikes,2024-09-26,876390
the-shawshank-redemption,numFans,2024-09-26,73213
deadpool,numViews,2024-09-26,2955047
deadpool,avgRating,2024-09-26,3.67
deadpool,numReviews,2024-09-26,131441
deadpool,numRatings,2024-09-26,1775027
deadpool,numLikes,2024-09-26,893432
deadpool,numFans,2024-09-26,7461
past-lives,numViews,2024-09-26,1198765
past-lives,avgRating,2024-09-26,4.18
past-lives,numReviews,2024-09-26,364594
past-lives,numRatings,2024-09-26,1029181
past-lives,numLikes,2024-09-26,504913
past-lives,numFans,2024-09-26,28298
coco-2017,numViews,2024-09-26,2724398
coco-2017,avgRating,2024-09-26,4.12
coco-2017,numReviews,2024-09-26,114342
coco-2017,numRatings,2024-09-26,1650268
coco-2017,numLikes,2024-09-26,953390
coco-2017,numFans,2024-09-26,12391
titanic-1997,numViews,2024-09-26,3025800
titanic-1997,avgRating,2024-09-26,3.81
titanic-1997,numReviews,2024-09-26,131958
titanic-1997,numRatings,2024-09-26,1640543
titanic-1997,numLikes,2024-09-26,750790
titanic-1997,numFans,2024-09-26,33030
mad-max-fury-road,numViews,2024-09-26,2172828
mad-max-fury-road,avgRating,2024-09-26,4.19
mad-max-fury-road,numReviews,2024-09-26,202132
mad-max-fury-road,numRatings,2024-09-26,1464154
mad-max-fury-road,numLikes,2024-09-26,828206
mad-max-fury-road,numFans,2024-09-26,33466
donnie-darko,numViews,2024-09-26,1881299
donnie-darko,avgRating,2024-09-26,3.98
donnie-darko,numReviews,2024-09-26,193691
donnie-darko,numRatings,2024-09-26,1248742
donnie-darko,numLikes,2024-09-26,693570
donnie-darko,numFans,2024-09-26,61024
pearl-2022,numViews,2024-09-26,1329484
pearl-2022,avgRating,2024-09-26,3.73
pearl-2022,numReviews,2024-09-26,342733
pearl-2022,numRatings,2024-09-26,1100956
pearl-2022,numLikes,2024-09-26,499249
pearl-2022,numFans,2024-09-26,23098
inside-out-2-2024,numViews,2024-09-26,1462732
inside-out-2-2024,avgRating,2024-09-26,3.67
inside-out-2-2024,numReviews,2024-09-26,439165
inside-out-2-2024,numRatings,2024-09-26,1267454
inside-out-2-2024,numLikes,2024-09-26,465269
inside-out-2-2024,numFans,2024-09-26,1938
mean-girls,numViews,2024-09-26,2701404
mean-girls,avgRating,2024-09-26,3.83
mean-girls,numReviews,2024-09-26,183144
mean-girls,numRatings,2024-09-26,1553138
mean-girls,numLikes,2024-09-26,837096
mean-girls,numFans,2024-09-26,22019
deadpool-wolverine,numViews,2024-09-26,1357186
deadpool-wolverine,avgRating,2024-09-26,3.59
deadpool-wolverine,numReviews,2024-09-26,473720
deadpool-wolverine,numRatings,2024-09-26,1203481
deadpool-wolverine,numLikes,2024-09-26,498687
deadpool-wolverine,numFans,2024-09-26,5847
up,numViews,2024-09-26,3244810
up,avgRating,2024-09-26,4.09
up,numReviews,2024-09-26,59167
up,numRatings,2024-09-26,1698868
up,numLikes,2024-09-26,950238
up,numFans,2024-09-26,7261
dont-look-up-2021,numViews,2024-09-26,2290945
dont-look-up-2021,avgRating,2024-09-26,3.01
dont-look-up-2021,numReviews,2024-09-26,216058
dont-look-up-2021,numRatings,2024-09-26,1600331
dont-look-up-2021,numLikes,2024-09-26,462209
dont-look-up-2021,numFans,2024-09-26,1332
anatomy-of-a-fall,numViews,2024-09-26,1165865
anatomy-of-a-fall,avgRating,2024-09-26,4.14
anatomy-of-a-fall,numReviews,2024-09-26,317552
anatomy-of-a-fall,numRatings,2024-09-26,999423
anatomy-of-a-fall,numLikes,2024-09-26,422901
anatomy-of-a-fall,numFans,2024-09-26,8543
drive-2011,numViews,2024-09-26,1808622
drive-2011,avgRating,2024-09-26,3.93
drive-2011,numReviews,2024-09-26,169585
drive-2011,numRatings,2024-09-26,1241586
drive-2011,numLikes,2024-09-26,625781
drive-2011,numFans,2024-09-26,27122
star-wars,numViews,2024-09-26,2568118
star-wars,avgRating,2024-09-26,4.17
star-wars,numReviews,2024-09-26,133887
star-wars,numRatings,2024-09-26,1498951
star-wars,numLikes,2024-09-26,914313
star-wars,numFans,2024-09-26,25365
coraline,numViews,2024-09-26,2212473
coraline,avgRating,2024-09-26,4.17
coraline,numReviews,2024-09-26,198426
coraline,numRatings,2024-09-26,1379233
coraline,numLikes,2024-09-26,867329
coraline,numFans,2024-09-26,84173
back-to-the-future,numViews,2024-09-26,2630878
back-to-the-future,avgRating,2024-09-26,4.2
back-to-the-future,numReviews,2024-09-26,105380
back-to-the-future,numRatings,2024-09-26,1481014
back-to-the-future,numLikes,2024-09-26,903585
back-to-the-future,numFans,2024-09-26,58800
